"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000235687",9355.00113427156,16.3993897674168,2.13986591937482,7.66374641463889,1.80586288297546e-14,3.36096644964368e-12
"ENSG00000197408",2321.32863356312,14.3886119238171,2.13993285013128,6.72386141599465,1.7697075941477e-11,1.94950031972611e-09
"ENSG00000263503",2052.78027251389,14.2112411650898,2.13994449566638,6.6409391429867,3.11690721412428e-11,3.2936682053093e-09
"ENSG00000171199",1811.00176391104,14.0304507325493,2.13995793475555,6.55641426622341,5.51169828220609e-11,5.56067599713956e-09
"ENSG00000234918",1709.02137363918,13.9468336035885,2.13996474341668,6.51731933738354,7.15749453770318e-11,7.01279615053471e-09
"ENSG00000160182",890.20382341474,13.0058750688079,2.14007595489173,6.07729601329308,1.22226012414571e-09,9.02501818841573e-08
"ENSG00000148513",105209.279006793,12.9244071263167,0.7118817753394,18.155271807815,1.16649213803957e-73,4.7545053054355e-69
"ENSG00000173467",730.859463614966,12.721334690246,2.14012656022864,5.94419737909657,2.77814689777763e-09,1.86547758495088e-07
"ENSG00000007216",611.457423338335,12.4639938931245,2.14018176592012,5.82380155349372,5.75238761524721e-09,3.57956590549406e-07
"ENSG00000262500",570.665267229592,12.3643870607763,2.14020592014688,5.77719505603822,7.59562131460503e-09,4.62765215488769e-07
"ENSG00000134240",558.34263673841,12.3328931755084,2.14021391079613,5.76245818854656,8.28975834028103e-09,4.98351416211673e-07
"ENSG00000134827",545.595087954428,12.2995732544776,2.14022255678403,5.74686647212959,9.09124656246187e-09,5.37808590187784e-07
"ENSG00000286208",541.770823319233,12.2894253454446,2.14022522991298,5.74211777979286,9.34997498245169e-09,5.49921544458512e-07
"ENSG00000154198",360.75563058669,11.7027672349262,2.14041657822212,5.46751849803312,4.56379594049766e-08,2.31939848801426e-06
"ENSG00000156096",336.535287897124,11.602503568758,2.14045779283987,5.42057106081233,5.94089511167326e-08,2.92799206598174e-06
"ENSG00000145451",279.171318369205,11.3328977381125,2.14058392781388,5.29430198501326,1.19471865038588e-07,5.50232061820091e-06
"ENSG00000286647",265.998851292424,11.2631673424717,2.14062057138352,5.26163650533926,1.42778826357017e-07,6.43041125247034e-06
"ENSG00000244402",264.724096414025,11.2562368801404,2.14062431103008,5.25838972403516,1.45322288173379e-07,6.52333826394136e-06
"ENSG00000244468",259.200158607633,11.2258140981747,2.14064094113876,5.24413687622125,1.57015608287612e-07,6.97906126302595e-06
"ENSG00000183888",252.401465922843,11.1874679612145,2.14066240804469,5.2261710763788,1.73056251100047e-07,7.60906120667403e-06
"ENSG00000142973",249.002119580448,11.1679057839454,2.14067358100777,5.21700547109468,1.81838890800247e-07,7.92618109853761e-06
"ENSG00000078898",246.027691530852,11.1505685464822,2.1406836105739,5.20888210261621,1.89981776418641e-07,8.21152409867169e-06
"ENSG00000183566",220.532593962888,10.9927404555435,2.1407806738056,5.13492138174154,2.82261991985596e-07,1.16326759669777e-05
"ENSG00000130226",215.008656156496,10.9561434684751,2.14080473751668,5.11776869532913,3.09171432049381e-07,1.26015183989007e-05
"ENSG00000269353",209.484718350104,10.9185939010681,2.14083007001546,5.10016841317499,3.39351395922608e-07,1.36377623829146e-05
"ENSG00000286250",209.059800057304,10.9156645833614,2.14083207410591,5.09879533074551,3.41821898615689e-07,1.36994284814915e-05
"ENSG00000188175",203.960780543711,10.8800408357516,2.14085677436659,5.08209655406333,3.7329156642396e-07,1.48583896053459e-05
"ENSG00000236313",187.388967124535,10.757785641911,2.14094633142449,5.02478062341397,5.04008329111607e-07,1.93253767509502e-05
"ENSG00000153002",6036.09509330555,10.7388440590884,0.873677510788388,12.2915422755908,1.00568794914465e-34,2.73272234127912e-31
"ENSG00000134443",183.56470248934,10.7280384338147,2.14096929416903,5.01083245940645,5.41950828385879e-07,2.04531239020186e-05
"ENSG00000165349",183.139784196541,10.7246950059461,2.14097190476708,5.00926470920357,5.46383798724756e-07,2.05823079965086e-05
"ENSG00000182601",174.641418340553,10.6561458422517,2.14102678375552,4.97711935371495,6.45375297784636e-07,2.36980646508144e-05
"ENSG00000252621",173.791581754954,10.6491083235084,2.14103256676502,4.97381893615873,6.56466280093456e-07,2.40619686243967e-05
"ENSG00000255774",169.117480534161,10.6097760899202,2.14106541192833,4.95537223235257,7.21919487547497e-07,2.60395720291579e-05
"ENSG00000078725",916.712187680918,10.6046302202651,1.58068053143114,6.70890164672539,1.96094776126466e-11,2.14855563982221e-09
"ENSG00000186732",166.143052484565,10.5841763830477,2.14108727533239,4.94336522615808,7.67854391480775e-07,2.74054090563615e-05
"ENSG00000186910",154.245340286182,10.4769778108663,2.14118315847822,4.8930787491867,9.92706614735982e-07,3.40014528655663e-05
"ENSG00000287647",150.845993943787,10.4448274333136,2.14121333087754,4.87799477179277,1.07169764888425e-06,3.62254134246317e-05
"ENSG00000166006",147.446647601391,10.4119442208572,2.14124489405629,4.86256581382116,1.15873833027631e-06,3.86489489392243e-05
"ENSG00000250612",135.973853695808,10.2950809937728,2.14136306690317,4.80772324548471,1.52658900973587e-06,4.90711683342462e-05
