external_gene_name,log2FoldChange,padj,baseMean
ART3,9.882887706,8.38E-16,842.1975841
SLC26A9,6.782068699,2.34E-15,250.6837324
MSLN,7.390596984,2.18E-11,4773.840717
NLRP2,5.738057903,3.92E-11,1868.494069
DOK7,-4.320231143,6.47E-11,3183.227704
,22.70406121,3.92E-10,37.1304771
PPP1R3B-DT,6.531041612,6.87E-10,739.6392757
,22.27257946,7.69E-10,32.50926454
CYP2B7P,-5.747967294,7.69E-10,1488.960217
SMC1B,5.771979972,1.54E-09,629.8187092
LMNTD2-AS1,-3.397096139,1.92E-09,3505.029538
CHODL-AS2,5.95180994,2.12E-09,74.36329266
ROPN1,7.086526899,2.14E-09,208.104972
COL9A1,6.301813817,2.32E-09,194.1914641
NA,4.658596182,2.32E-09,74.33614532
PROB1,-3.764106944,2.34E-09,1907.959616
HORMAD1,7.486903078,2.63E-09,339.9834777
DPF3,4.399126336,3.44E-09,254.4404834
COL19A1,6.411397596,4.63E-09,184.4363945
NBPF20,1.745957334,4.78E-09,600.9330181
FOXCUT,7.441951369,5.00E-09,508.8028791
MT-TL2,3.602434958,6.12E-09,45.17884199
PDCL3P5,4.814962806,7.89E-09,79.4926175
,6.334768273,9.92E-09,70.18090806
CFAP99,-3.782863927,1.26E-08,244.612506
EEF1A2,-5.740693392,1.48E-08,8960.350714
CO24,6.697031368,1.71E-08,494.5042487
,7.595948216,3.56E-08,279.2083832
ABCA3,-2.050154017,3.98E-08,7112.967012
GSDMC,4.95715299,4.46E-08,367.840327
LINC02437,8.395568727,6.04E-08,44.90949001
POU5F1,3.698886129,6.04E-08,212.1830234
,-3.799799512,6.04E-08,31.68047365
KCNG1,5.013516189,6.04E-08,1087.530687
ROPN1B,4.99836614,6.57E-08,284.1642004
FABP7,5.366841245,7.22E-08,98.29577049
LMNTD2,-2.636954801,7.23E-08,2656.630582
MKRN3,6.356548024,1.06E-07,220.9260643
KRT18P25,-3.781970753,1.13E-07,27.16619753
,5.297277106,1.13E-07,108.0613672
NA,5.510984725,1.14E-07,322.346518
ATP10B,4.11630678,1.40E-07,20.99542074
LARP4P,4.03395007,1.43E-07,102.6553161
SERINC2,-2.62826424,2.27E-07,17012.56324
ZFP57,6.020919297,2.27E-07,216.2695013
CRABP1,8.079889083,2.27E-07,1359.225551
WFS1,-2.977606081,2.51E-07,7383.731156
,5.816694871,2.52E-07,69.96978153
PWWP3B,-4.275120861,2.60E-07,239.6586589
SPAG6,-8.61565634,2.60E-07,763.6459379
LINC01606,7.917185431,2.63E-07,196.7840074
DCT,5.636450552,3.35E-07,172.6575481
,-2.888047911,3.53E-07,29.1384278
CRAT,-3.836924762,3.56E-07,10592.79628
TRPM8,7.831233046,3.67E-07,168.7127075
CPA3,-4.97181144,3.67E-07,407.6501861
,5.440255272,3.67E-07,78.66994355
CPA4,3.174731229,3.67E-07,230.2030706
ZG16B,-4.226085071,3.67E-07,4317.911944
CFAP61,-3.810255257,3.67E-07,106.1067146
RNU6-154P,8.799363601,3.73E-07,59.27804675
KRT18P5,2.578077423,3.92E-07,246.7539574
,4.230692839,4.10E-07,99.640359
MARCO,5.058338301,4.52E-07,98.20902649
SIAH2-AS1,-2.085844538,4.71E-07,198.5161189
PPP1R26,-2.073224335,4.71E-07,3673.816015
SLC7A8,-4.409957003,5.04E-07,12800.71337
PTPRK-AS1,3.240641535,5.68E-07,78.54142748
ATP6V1C2,4.484974297,6.17E-07,1499.934597
UBASH3B,2.687180586,6.17E-07,323.1329267
,8.33776142,6.47E-07,43.09222025
SLC25A37,2.70893579,6.54E-07,8276.005235
LINC00964,6.170830375,6.76E-07,266.5430812
LINP1,6.005760605,8.16E-07,26.51687159
VGLL1,5.659893338,8.41E-07,587.9942785
APCDD1L-DT,4.988342699,8.41E-07,360.6789647
CHODL,4.466078178,8.56E-07,186.3118993
FAM47C,7.664848514,9.45E-07,18.06596963
ST3GAL6,4.082464745,9.71E-07,1314.335293
,3.755912792,9.83E-07,55.0626966
INSYN1,-3.550604324,1.00E-06,656.5043197
LINC00393,7.329243113,1.12E-06,100.8527697
,7.626406588,1.17E-06,17.69698137
LINC02438,7.878824513,1.17E-06,21.01836777
SLC15A1,5.86571498,1.17E-06,204.5855369
SIX5,-1.785707846,1.17E-06,3173.84649
TTC39A,-2.633462426,1.21E-06,4771.974292
KCNK15,-4.913380827,1.24E-06,1331.443675
NLRP7,5.787356553,1.26E-06,73.13562628
SLC6A14,6.044407337,1.46E-06,880.641644
SPEF1,-2.208647687,1.60E-06,265.1061926
CAMKV,7.885312929,1.63E-06,158.9125466
LINC01198,5.405759874,1.68E-06,68.98776793
GFRA3,5.226717637,1.93E-06,300.2639548
,3.045324177,1.93E-06,113.7291921
ADGRB2,-3.92878515,2.06E-06,6834.495975
ZNRF2P1,-1.903584689,2.16E-06,272.9727545
OPRK1,5.446427565,2.16E-06,55.93052513
LINC02732,5.779571678,2.16E-06,51.98014985
CD2BP2-DT,-2.190798274,2.16E-06,246.7110694
STARD10,-4.00622471,2.20E-06,26195.07484
NDUFAF2P2,2.805922841,2.36E-06,95.31949363
RGR,5.116056472,2.36E-06,70.29861479
,3.918461384,2.48E-06,42.11558954
TBC1D2,-1.948952372,2.51E-06,1595.979076
,4.327046714,2.57E-06,176.5044325
MT-TH,2.777710024,2.57E-06,54.15353835
TARID,7.262347872,2.58E-06,84.54724961
SPDYC,4.557949101,2.71E-06,44.16906641
CFAP157,-1.761263847,2.74E-06,667.1960599
TNNI2,6.567098671,2.74E-06,5045.182724
LINC00303,6.574501987,2.80E-06,73.29431492
FMOD,-3.008867994,2.87E-06,4004.772783
LACTB2-AS1,2.726744912,2.90E-06,146.0778305
SLC26A7,6.460944018,2.93E-06,857.8138499
,-6.323704873,2.95E-06,46.37377877
CCKBR,6.808686503,2.95E-06,185.4812679
TPSB2,-6.790129708,2.99E-06,3702.639605
EN1,5.620616719,3.13E-06,1846.520605
PDLIM1P4,4.385404979,3.13E-06,67.95588663
MAP7D2,6.939318323,3.13E-06,910.5779583
ENTPD8,-4.886257255,3.13E-06,1795.365448
PRICKLE1-AS1,3.813186677,3.13E-06,23.04102213
SLC2A10,-3.047949069,3.13E-06,3648.120816
TBX19,2.946892461,3.25E-06,1037.26887
AGTR1,-5.966662957,3.25E-06,978.5325433
OCA2,5.839680041,3.25E-06,173.3619601
,-2.267466677,3.25E-06,194.0839245
,-3.776215151,3.27E-06,101.110427
MIR4500HG,6.303114789,3.39E-06,90.05625129
RET,-5.059726167,3.55E-06,2192.359883
ACP7,4.695274764,3.55E-06,70.16220746
DUSP9,4.848638099,3.56E-06,206.3482675
HMGB1P19,3.515097393,3.79E-06,41.87815258
,3.637997024,3.94E-06,84.55799044
PCDH11X,7.088410825,3.94E-06,240.3850483
GDF15,-4.067766726,3.94E-06,860.8626199
SLC35G5,2.258468031,4.09E-06,63.0353591
SLC6A11,3.869521634,4.10E-06,180.2296123
VRTN,8.4330227,4.51E-06,171.9548306
FBN3,6.116866783,4.59E-06,2957.353443
RCC2P6,4.18418203,4.63E-06,46.22851693
,3.618748755,4.81E-06,24.54925825
TPRN,-2.627915161,4.84E-06,4475.221968
NDNF,-4.674199244,5.00E-06,232.8228873
SPATA24,-3.111992496,5.00E-06,341.0801996
,-8.092266749,5.00E-06,25.16696682
BCAM,-3.808698276,5.00E-06,68819.73083
DSCAM-AS1,-7.444340899,5.21E-06,291.3498488
,3.065558928,5.25E-06,121.7950914
PM20D2,2.858534553,5.27E-06,1094.107945
,3.396336875,5.35E-06,42.9505227
PDCL3P2,5.106819762,5.54E-06,85.63690365
,4.592874126,6.09E-06,66.06927105
SLC67A1,-2.458022633,6.09E-06,3133.026829
FUT3,4.940625536,6.19E-06,273.7957278
,4.923064955,6.43E-06,40.08976391
ADSS1,-2.789966979,6.51E-06,457.6841445
ESYT3,3.255280511,6.64E-06,455.5655735
PRSS23,-2.549300948,6.64E-06,5501.069373
SLURP1,5.94564409,6.78E-06,87.30373802
,5.40525213,6.78E-06,16.00127843
,3.078302171,6.89E-06,122.9547067
NAGS,-3.448831344,7.06E-06,643.7443752
PPP4R2P6,2.488493805,7.06E-06,89.39731119
,6.14134151,7.08E-06,136.4873814
GLYATL1P2,4.916628411,7.15E-06,74.82132216
,-2.671368911,7.37E-06,51.76315861
HMGB1P16,6.147800197,7.62E-06,26.52331524
,7.36811033,7.66E-06,14.74690386
ABCG1,-2.938766471,8.21E-06,1623.550175
,4.263805401,8.28E-06,130.9601873
SATL1,3.593306306,8.35E-06,21.01953839
A2ML1,4.383032897,8.47E-06,409.6536204
KRT18,-2.334303301,8.93E-06,27209.31529
MUC16,6.371904128,8.93E-06,13857.40615
,4.616278103,9.37E-06,139.473356
,7.549091414,9.49E-06,16.63843197
KCNS1,4.611315951,9.98E-06,104.8659979
GATA2,-3.008604308,1.04E-05,1342.39566
HMGB1P41,2.67826879,1.04E-05,48.1610624
RASAL1,4.356790674,1.05E-05,1344.631926
DEPDC1P2,3.967096319,1.09E-05,20.08001032
NA,-5.776152294,1.17E-05,46.20036243
LINC00518,8.577427431,1.17E-05,34.07720258
BMPR1B,-6.062982932,1.17E-05,15026.04752
NA,-7.860140409,1.17E-05,775.0997541
PHB1P19,2.612061072,1.30E-05,475.0245922
,3.242809062,1.35E-05,42.62035161
PRAME,5.963489828,1.36E-05,880.9153398
DDX50P1,2.466535825,1.39E-05,179.2442017
TPSAB1,-6.14331274,1.42E-05,2491.449377
,6.260556011,1.45E-05,51.87098567
GAA,-2.542050647,1.45E-05,21163.06812
FGF19,-6.916785172,1.48E-05,11.12657217
SBSN,6.578965523,1.48E-05,299.6206454
CICP27,3.788520144,1.50E-05,16.0876965
CT75,6.787802291,1.55E-05,9.901084328
ITGB5,-2.918102066,1.55E-05,15112.51663
RPL21P86,3.391663785,1.55E-05,14.54763744
MAG,-4.481886116,1.55E-05,78.55429053
GTF3C6P3,-6.897341452,1.56E-05,16.57791284
LCT,4.329288615,1.59E-05,45.07567525
,6.483745671,1.61E-05,25.74367261
MAGED2,-2.795192112,1.62E-05,28645.37629
SLC7A2-IT1,-4.958954475,1.63E-05,54.47383061
ERGIC1,-2.696172721,1.65E-05,16134.05215
SLC2A14,4.16346785,1.66E-05,81.76845326
NA,3.502804749,1.68E-05,181.5330905
PERCC1,-3.721425252,1.68E-05,113.3985947
MMS22L,2.525040248,1.69E-05,1904.181982
GABBR2,4.711352621,1.69E-05,67.91374782
PLAC1,-4.354029598,1.81E-05,33.09549178
BAG3,-3.12717144,1.81E-05,8324.427137
ABAT,-3.07249329,1.91E-05,2607.559668
,3.115058625,1.92E-05,248.7784983
TEX15,8.145352749,1.94E-05,56.36046328
HID1,-3.042785978,2.00E-05,18323.32468
AGGF1P3,3.394384439,2.03E-05,69.79506074
PPP1CB-DT,2.020350423,2.04E-05,100.6455975
LPIN1,2.852486705,2.06E-05,6456.097536
ARHGEF16,-2.689546164,2.07E-05,5927.857588
SYNPO2L,-6.168741654,2.08E-05,1544.826338
,4.664699529,2.10E-05,15.11858072
,-5.006306342,2.15E-05,371.2448455
BMS1P17,3.86061538,2.15E-05,25.48933774
FSIP1,-4.510800627,2.15E-05,536.6606325
FDCSP,5.627868912,2.19E-05,204.842186
BCL11A,4.369687344,2.22E-05,2029.758332
,2.492701981,2.22E-05,338.4064653
LY6D,5.863760698,2.22E-05,248.9898743
PRSS41,8.597794709,2.22E-05,104.4952854
CYP2T1P,-3.774808101,2.22E-05,1595.803877
